Index,Title,Artist,Top Genre,Year,Beats Per Minute (BPM),Energy,Danceability,Loudness (dB),Liveness,Valence,Length (Duration),Acousticness,Speechiness,Popularity
890,Time In A Bottle,Jim Croce,adult standards,1972,134,26,54,-12,15,64,148,85,3,58
1673,Ik Leef Niet Meer Voor Jou,Marco Borsato,dutch cabaret,1995,150,82,55,-9,4,57,217,2,5,60
415,A Night Like This,Caro Emerald,dutch pop,2010,123,71,87,-6,10,96,226,57,4,40
1600,Rhythm Is A Dancer,SNAP!,diva house,1992,124,65,76,-15,9,86,332,21,3,57
850,Wild Horses,The Rolling Stones,album rock,1971,140,39,43,-7,8,16,342,69,3,72
1659,Streets of Philadelphia - Single Edit,Bruce Springsteen,classic rock,1995,94,29,74,-13,9,44,195,29,3,70
927,Tequila Sunrise - 2013 Remaster,Eagles,album rock,1973,111,40,63,-13,11,73,173,54,3,62
1671,Lemon Tree,Fools Garden,german pop rock,1995,143,48,66,-9,12,64,191,64,4,73
1449,Ich bin wie du,Marianne Rosenberg,classic schlager,1988,129,74,48,-10,5,60,218,1,8,45
1217,Belgie ... (Is Er Leven Op Pluto ...),Het Goede Doel,dutch pop,1982,141,66,58,-14,7,66,361,1,4,52
451,Lonely Boy,The Black Keys,alternative rock,2011,166,87,36,-8,10,61,194,0,7,73
487,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2012,95,55,78,-7,13,44,243,35,5,81
1982,Midnight Rambler,The Rolling Stones,album rock,1969,75,66,40,-10,17,51,413,77,12,50
933,The Joker,Steve Miller Band,album rock,1973,83,45,60,-10,21,80,265,37,4,75
1306,Two Tribes,Frankie Goes To Hollywood,art rock,1984,130,62,54,-13,37,20,208,0,4,54
1000,Hotel California - 2013 Remaster,Eagles,album rock,1976,147,51,58,-9,6,61,391,1,3,82
125,Papa Was A Rolling Stone,The Temptations,adult standards,2001,120,60,85,-12,19,87,433,6,4,44
1429,Laat Mij Maar Alleen,Klein Orkest,dutch indie,1987,153,74,45,-10,23,94,201,2,6,40
553,Love You Like I Love Myself,Herman Brood & His Wild Romance,dutch indie,2013,148,84,52,-7,20,86,213,1,6,28
582,Home,Dotan,dutch pop,2014,130,70,76,-9,4,30,268,7,4,42
395,Kijk Omhoog,Nick & Simon,dutch pop,2007,166,56,41,-5,19,47,176,5,3,48
1117,The Logical Song - Remastered 2010,Supertramp,album rock,1979,120,76,63,-6,15,70,251,51,5,72
515,Clown,Emeli Sandé,dance pop,2012,119,26,46,-8,11,23,221,92,4,46
1358,Life's What You Make It - 1997 Remaster,Talk Talk,art rock,1986,92,80,53,-8,4,94,269,0,3,59
351,Politik,Coldplay,permanent wave,2002,171,48,26,-8,11,7,319,4,3,62
1593,In These Arms,Bon Jovi,glam metal,1992,123,92,51,-3,21,46,319,1,6,59
306,Stiekem Gedanst,Toontje Lager,dutch rock,2008,96,63,66,-10,60,84,215,21,6,53
533,Diamonds,The Boxer Rebellion,chamber pop,2013,170,75,45,-6,18,42,243,17,6,35
1681,Avalon,Roxy Music,album rock,1995,137,49,76,-11,21,88,257,67,3,46
1867,Eleanor Rigby - Remastered 2009,The Beatles,british invasion,1966,138,28,58,-9,31,81,127,94,4,71
527,Hey Brother,Avicii,big room,2013,125,78,55,-5,8,46,255,3,4,78
1178,Keep on Loving You,REO Speedwagon,album rock,1980,175,72,31,-6,12,41,200,5,3,71
1286,The Boys Of Summer,Don Henley,album rock,1984,177,55,52,-14,18,91,289,50,4,76
562,Iron Sky,Paolo Nutini,british soul,2014,140,63,39,-7,11,32,373,24,3,49
1800,Tears in Heaven,Eric Clapton,album rock,1999,154,24,50,-12,13,31,272,84,3,61
1736,Good Riddance (Time of Your Life),Green Day,modern rock,1997,95,43,48,-8,16,65,153,18,3,75
71,Make You Feel My Love,Adele,british soul,2008,77,18,55,-11,11,9,212,89,3,73
916,Time,Pink Floyd,album rock,1973,120,48,36,-12,18,36,414,52,8,70
1507,Send Me An Angel,Scorpions,album rock,1990,81,42,15,-12,21,17,273,43,3,69
531,Dansen Op De Vulkaan,De Dijk,dutch indie,2013,151,95,58,-4,4,78,269,2,6,40
786,Time To Give,White Lies,alternative dance,2019,120,83,43,-6,14,35,455,2,5,50
757,High On Life (feat. Bonn),Martin Garrix,big room,2018,128,49,41,-6,11,37,231,1,3,78
1222,Kristallnaach,BAP,german pop,1982,159,57,35,-14,6,44,299,49,12,47
1299,You'll Never Walk Alone,Lee Towers,dutch pop,1984,79,27,34,-16,26,14,210,61,3,44
481,Zo Stil,BLØF,dutch pop,2012,170,69,57,-7,11,78,237,4,3,54
1619,Mull Of Kintyre - 1993 Digital Remaster,Wings,album rock,1993,93,26,33,-15,12,42,283,0,3,56
308,Lady Madonna - Remastered 2015,The Beatles,british invasion,2000,110,78,65,-5,22,57,137,14,3,63
129,De wedstrijd,Bram Vermeulen,belgian rock,2006,136,85,58,-6,79,58,302,53,5,42
66,Crazy,Seal,british soul,2004,103,86,63,-7,7,73,357,21,5,63
112,Everybody's Changing,Keane,modern rock,2004,94,84,52,-4,10,46,215,0,3,54
951,Crime Of The Century,Supertramp,album rock,1974,123,42,40,-14,7,23,333,10,5,43
57,Sometimes You Can't Make It On Your Own,U2,irish rock,2004,96,60,53,-6,11,35,305,0,2,57
1235,Steppin' Out,Joe Jackson,album rock,1982,159,54,58,-8,8,55,259,5,3,48
1126,Bright Eyes,Art Garfunkel,adult standards,1979,113,21,38,-16,8,21,239,75,3,57
271,Snow (Hey Oh),Red Hot Chili Peppers,alternative rock,2006,105,90,43,-4,12,60,335,12,5,80
1342,Out In The Fields,Gary Moore,album rock,1985,180,95,44,-8,39,36,258,3,6,52
